,ADRES,POPULATION
0,Гурьевск,19670
1,Калининград,1002122
2,Гусев,28177
3,Нестеров,3937
4,Партизанское,1132
5,Садовое,519
6,Славск,3964
7,Ясная Поляна,997
8,Гвардейск,13865
9,Холмогоровка,637
10,Багратионовск,6401
11,Большое Исаково,3187
12,Зеленоградск,17296
13,Калининградская,1027678
14,Колосовка,1538
15,Краснознаменск,3049
16,Невское,792
17,Неман,10765
18,Пионерский,12573
19,Правдинск,4045
20,Прибрежный,6200
21,СТ Железнодорожник,1000
22,СТ Искра ул. Тюльпановая,1000
23,СТ Победа,1000
24,Светлый,21441
25,Советск,38514
26,Совхозное,583
27,Черняховск,35375
28,Балтийск,33317
29,Малое Васильково,914
30,Полесск,6921
31,Сосновка,912
32,Ладушкин,3820
33,Малинники,290
34,Раздольное,476
35,Озерск,3816
36,Волочаевское,1582
37,Мамоново,8104
38,Нивенское,1728
39,Светлогорск,19710
40,Васильково,4527
41,Голубево,276
42,Долгоруково,2805
43,Донское,2795
44,Дружный,510
45,Заозерье,418
46,Корнево,1912
47,Ласкино,280
48,Луговое,1203
49,Люблино,1606
50,Малиновка,253
51,Малое Исаково,2543
52,Матросово,484
53,Озерки,2473
54,Переславское,1388
55,Пятидорожное,790
56,СТ Колосок,1000
57,СТ Радуга,1000
58,Саранское,1055
59,Славинск,944
60,Славянское,910
61,Ушаково,182
62,Янтарный,6887
63,Ясное,1464
64,Илюшино,1133
65,Шоссейное,1155
66,Южный,2772
67,Петрово,1162
68,Некрасово,488
69,Березовка,182
70,Большаково,2448
71,Высокое,427
72,Домново,820
73,Дорожный,569
74,Железнодорожный,2641
75,Знаменск,4036
76,Коврово,702
77,Комсомольск,1250
78,Константиновка,656
79,Крылово,785
80,Кумачево,582
81,Майское,605
82,Мельниково,791
83,Муромское,666
84,Низовье,703
85,Новодорожный,310
86,Новостроево,613
87,Первомайское,475
88,Пригородное,497
89,Приморск,1921
90,Родники,757
91,Романово,1100
92,Рощино,271
93,Рыбачий,839
94,СТ Чайка,1000
95,Тимирязево,1227
96,Храброво,2143
97,Лесное,425
98,Взморье,1883
99,Приморье,1140
100,Рассвет,470
101,Залесье,1149
102,Гурьевский,19670
103,Фурманово,723
104,Заливино,622
105,Малое Луговое,1081
106,Покровское,579
107,Прибрежное,444
108,Рыбное,433
109,Орловка,619
110,Владимирово,666
111,Добрино,539
112,Заостровье,624
113,Кострово,970
114,Маршальское,686
115,Ново-Московское,645
116,Северный,305
117,Тургенево,730
